stationFIN;stationENG
Ahonpäästä;from Ahonpää
Ahvenuksesta;from Ahvenus
Ainolasta;from Ainola
Airakselasta;from Airaksela
Aittaluodosta;from Aittaluoto
Ajoksesta;from Ajos
Alapitkästä;from Alapitkä
Alavuksesta;from Alavus
Alholmasta;from Alholma
Arolasta;from Arola
Asolasta;from Asola
Aviapoliksesta;from Aviapolis
Dragsvikista;from Dragsvik
Elijärveltä;from Elijärvi
Eläinpuisto-Zoosta;from Eläinpuisto-Zoo
Enosta;from Eno
Ervelästä;from Ervelä
Eskolasta;from Eskola
Espoosta;from Espoo
Haapajärveltä;from Haapajärvi
Haapakoskelta;from Haapakoski
Haapamäeltä;from Haapamäki
Haaparannasta;from Haaparanta
Haarajoelta;from Haarajoki
Hakosillalta;from Hakosilta
Haksista;from Haksi
Haminasta;from Hamina
Hammaslahdesta;from Hammaslahti
Hanalasta;from Hanala
Hangonsaaresta;from Hangonsaari
Hankasalmelta;from Hankasalmi
Hangosta;from Hanko asema
Hanko tavarasta;from Hanko tavara
Hanko-Pohjoisesta;from Hanko-Pohjoinen
Harjavallasta;from Harjavalta
Harjusta;from Harju
Harvialasta;from Harviala
Haukiputaalta;from Haukipudas
Haukivuoresta;from Haukivuori
Hausjärvi tavarasta;from Hausjärvi tavara
Havisevasta;from Haviseva
Havukoskelta;from Havukoski
Heikkilästä;from Heikkilä
Heinolasta;from Heinola
Heinoosta;from Heinoo
Heinävaaralta;from Heinävaara
Heinävedeltä;from Heinävesi
Helsingistä;from Helsinki asema
Helsinki Kivihaasta;from Helsinki Kivihaka
Hennasta;from Henna
Herralasta;from Herrala
Hiekkaharjulta;from Hiekkaharju
Hiirolasta;from Hiirola
Hikiältä;from Hikiä
Hillosalmesta;from Hillosensalmi
Hinthaarasta;from Hinthaara
Hirvinevalta;from Hirvineva
Humppilasta;from Humppila
Huopalahdesta;from Huopalahti
Huutokoskelta;from Huutokoski
Hyrynsalmelta;from Hyrynsalmi
Hyvinkäältä;from Hyvinkää
Hämeenlinnasta;from Hämeenlinna
Härmästä;from Härmä
Höljäkästä;from Höljäkkä
Iisalmelta;from Iisalmi
Iittalasta;from Iittala
Ilmalasta;from Ilmala asema
Ilmala ratapihalta;from Ilmala ratapiha
Ilomantsista;from Ilomantsi
Imatralta;from Imatra asema
Imatra tavarasta;from Imatra tavara
Imatrankoskelta;from Imatrankoski
Imatrankoski-rajalta;from Imatrankoski-raja
Inkeroisista;from Inkeroinen
Inkoosta;from Inkoo
Isokyröstä;from Isokyrö
Jalasjärveltä;from Jalasjärvi
Jepuasta;from Jepua
Joensuusta;from Joensuu asema
Joensuu Peltolasta;from Joensuu Peltola
Joensuu Sulkulahdesta;from Joensuu Sulkulahti
Jokelasta;from Jokela
Joroisista;from Joroinen
Jorvaksesta;from Jorvas
Joutsenosta;from Joutseno
Juankoskelta;from Juankoski
Jutilasta;from Jutila
Juupajoelta;from Juupajoki
Juurikorvesta;from Juurikorpi
Jyväskylästä;from Jyväskylä
Jämsästä;from Jämsä
Jämsänkoskelta;from Jämsänkoski
Järvelästä;from Järvelä
Järvenpäästä;from Järvenpää asema
Kaipiaisista;from Kaipiainen
Kaipolasta;from Kaipola
Kaitjärveltä;from Kaitjärvi
Kajaanista;from Kajaani
Kalkusta;from Kalkku
Kalvitsasta;from Kalvitsa
Kankaalta;from Kangas
Kannelmäestä;from Kannelmäki
Kannonkoskelta;from Kannonkoski
Kannuksesta;from Kannus
Karhejärveltä;from Karhejärvi
Karhukankaalta;from Karhukangas
Karjaalta;from Karjaa
Karkusta;from Karkku
Karviaisista;from Karviainen
Kaskisista;from Kaskinen
Kattilaharjusta;from Kattilaharju
Kauhajoelta;from Kauhajoki
Kauhavalta;from Kauhava
Kauklahdesta;from Kauklahti asema
Kaulinrannasta;from Kaulinranta
Kauniaisista;from Kauniainen
Kauppilanmäeltä;from Kauppilanmäki
Kausalasta;from Kausala
Keitelepohjasta;from Keitelepohja
Kekomäestä;from Kekomäki
Kemistä;from Kemi
Kemijärveltä;from Kemijärvi
Kempeleeltä;from Kempele
Kerasta;from Kera
Keravalta;from Kerava asema
Kerimäeltä;from Kerimäki
Kesälahdesta;from Kesälahti
Keuruulta;from Keuruu
Kiialasta;from Kiiala
Kilosta;from Kilo
Kilpuasta;from Kilpua
Kinnistä;from Kinni
Kirkkonummelta;from Kirkkonummi
Kirkniemestä;from Kirkniemi
Kiteeltä;from Kitee
Kiukaisista;from Kiukainen
Kiuruvedeltä;from Kiuruvesi
Kivesjärveltä;from Kivesjärvi
Kivistöstä;from Kivistö
Kohtavaarasta;from Kohtavaara
Koivusta;from Koivu
Koivuhovista;from Koivuhovi
Koivukylästä;from Koivukylä
Kokemäeltä;from Kokemäki
Kokkolasta;from Kokkola
Kolarista;from Kolari
Kolhosta;from Kolho
Kommilasta;from Kommila
Kontiolahdelta;from Kontiolahti
Kontiomäeltä;from Kontiomäki
Korialta;from Koria
Korkeakoskelta;from Korkeakoski
Korsosta;from Korso
Korvensuolta;from Korvensuo
Koskenkorvasta;from Koskenkorva
Kotkasta;from Kotka asema
Kotka Hovinsaaresta;from Kotka Hovinsaari
Kotka Mussalosta;from Kotka Mussalo
Kotkan satamasta;from Kotkan satama
Kotolahdesta;from Kotolahti
Kouvolasta;from Kouvola asema
Kouvola lajittelusta;from Kouvola lajittelu
Kouvola Oikoraiteelta;from Kouvola Oikoraide
Kouvola tavarasta;from Kouvola tavara
Kovjoelta;from Kovjoki
Kruunupyystä;from Kruunupyy
Kuivasjärveltä;from Kuivasjärvi
Kullasvaarasta;from Kullasvaara
Kuopiosta;from Kuopio asema
Kuopio tavarasta;from Kuopio tavara
Kupittaalta;from Kupittaa
Kurkimäestä;from Kurkimäki
Kuurilasta;from Kuurila
Kuusankoskelta;from Kuusankoski
Kylänlahdesta;from Kylänlahti
Kymistä;from Kymi
Kyminlinnasta;from Kyminlinna
Kyröstä;from Kyrö
Kytömaalta;from Kytömaa
Kälviältä;from Kälviä
Käpylästä;from Käpylä
Köykkäristä;from Köykkäri
Laajavuoresta;from Laajavuori
Lahdenperästä;from Lahdenperä
Lahnaslammelta;from Lahnaslampi
Lahdesta;from Lahti
Laihialta;from Laihia
Lakialasta;from Lakiala
Lamminkoskelta;from Lamminkoski
Lamminniemestä;from Lamminniemi
Lapinjärveltä;from Lapinjärvi
Lapinlahdesta;from Lapinlahti
Lappeenrannasta;from Lappeenranta
Lappilasta;from Lappila
Lappohjasta;from Lappohja
Lapualta;from Lapua
Larvakydöstä;from Larvakytö
Laukaasta;from Laukaa
Laurilasta;from Laurila
Lauritsalasta;from Lauritsala
Lautiosaaresta;from Lautiosaari
Leinelästä;from Leinelä
Lelkolasta;from Lelkola
Lempäälästä;from Lempäälä
Lentoasemalta;from Lentoasema
Leppäkoskelta;from Leppäkoski
Leppävaarasta;from Leppävaara
Leteensuolta;from Leteensuo
Lieksasta;from Lieksa
Lielahdesta;from Lielahti
Lievestuoreelta;from Lievestuore
Limingasta;from Liminka
Lohjalta;from Lohja
Loimaalta;from Loimaa
Louhelasta;from Louhela
Loukolammelta;from Loukolampi
Loviisasta;from Loviisan satama
Luikonlahdesta;from Luikonlahti
Lustosta;from Lusto
Luumäeltä;from Luumäki
Länkipohjasta;from Länkipohja
Maaselästä;from Maanselkä
Maariasta;from Maaria
Madesjärveltä;from Madesjärvi
Majajärveltä;from Majajärvi
Malmilta;from Malmi
Malminkartanosta;from Malminkartano
Mankalasta;from Mankala
Markkalasta;from Markkala
Martinlaaksosta;from Martinlaakso
Masalasta;from Masala
Matkanevelta;from Matkaneva
Mattilasta;from Mattila
Mikkelistä;from Mikkeli
Misistä;from Misi
Mommilasta;from Mommila
Muhokselta;from Muhos
Mukkulasta;from Mukkula
Murtomäeltä;from Murtomäki
Mustolan satamasta;from Mustolan satama
Muukosta;from Muukko
Muuramesta;from Muurame
Muurolasta;from Muurola
Myllykankaalta;from Myllykangas
Myllykoskelta;from Myllykoski
Myllymäeltä;from Myllymäki
Mynämäeltä;from Mynämäki
Myyrmäestä;from Myyrmäki
Mäkkylästä;from Mäkkylä
Mäntsälästä;from Mäntsälä
Mäntästä;from Mänttä
Mäntyharjusta;from Mäntyharju
Mäntyluodolta;from Mäntyluoto
Naantalista;from Naantali
Naarajärveltä;from Naarajärvi
Nakkilasta;from Nakkila
Nastolasta;from Nastola
Niemenpäästä;from Niemenpää
Niinimäeltä;from Niinimäki
Niinisalosta;from Niinisalo
Niiralasta;from Niirala
Niirala-rajalta;from Niirala-raja
Niittylahdesta;from Niittylahti
Nikkilästä;from Nikkilä
Nivalasta;from Nivala
Nokialta;from Nokia
Nummelasta;from Nummela
Nurmeksesta;from Nurmes
Oitista;from Oitti
Orivedeltä;from Orivesi
Orivesi kekuksesta;from Orivesi keskusta
Otanmäestä;from Otanmäki
Otavasta;from Otava
Oulaisista;from Oulainen
Oulusta;from Oulu asema
Oulu Nokelasta;from Oulu Nokela
Oulu Oritkarista;from Oulu Oritkari
Oulu tavarasta;from Oulu tavara
Oulu Tuirasta;from Oulu Tuira
Oulunkylästä;from Oulunkylä
Paimenportista;from Paimenportti
Paimiosta;from Paimio
Palopurosta;from Palopuro
Paltamosta;from Paltamo
Pankakoskelta;from Pankakoski
Parikkalasta;from Parikkala
Parkanosta;from Parkano
Parolasta;from Parola
Pasilasta;from Pasila asema
Pasila autojuna-asemalta;from Pasila autojuna-asema
Pasila tavarasta;from Pasila tavara
Patokankaalta;from Patokangas
Pelkolasta;from Pelkola
Pellosta;from Pello
Peräseinäjoelta;from Peräseinäjoki
Pesiökylästä;from Pesiökylä
Petäjävedeltä;from Petäjävesi
Pieksämäeltä;from Pieksämäki asema
Pieksämäki lajittelusta;from Pieksämäki lajittelu
Pieksämäki tavarasta;from Pieksämäki tavara
Pieksämäki Temusta;from Pieksämäki Temu
Pietarsaaresta;from Pietarsaari
Pihlajavedeltä;from Pihlajavesi
Piikkiöstä;from Piikkiö
Pirkkalasta;from Pikkarala
Pitäjänmäeltä;from Pitäjänmäki
Pohjankurusta;from Pohjankuru
Pohjois-Haagasta;from Pohjois-Haaga
Pohjois-Loukosta;from Pohjois-Louko
Poikkeuksesta;from Poikkeus
Porista;from Pori
Porvoosta;from Porvoo
Puhokselta;from Puhos
Puistolasta;from Puistola
Pukinmäestä;from Pukinmäki
Pulsasta;from Pulsa
Punkaharjulta;from Punkaharju
Purolasta;from Purola
Pyhäkummusta;from Pyhäkumpu
Pyhäkumpu erkanemisvaihteelta;from Pyhäkumpu erkanemisvaihde
Pyhäsalmesta;from Pyhäsalmi
Pännäisistä;from Pännäinen
Pääskylahdesta;from Pääskylahti
Raahesta;from Raahe
Raiposta;from Raippo
Raisiosta;from Raisio
Rajamäeltä;from Rajamäki
Rajaperkiöstä;from Rajaperkiö
Rantasalmelta;from Rantasalmi
Rasinsuolta;from Rasinsuo
Ratikylästä;from Ratikylä
Rauhasta;from Rauha
Raumalta;from Rauma
Rauniosta;from Raunio
Rautaruukista;from Rautaruukki
Raujärveltä;from Rautjärvi
Rekolasta;from Rekola
Retretistä;from Retretti
Riihimäki Arolammelta;from Riihimäki Arolampi
Riihimäeltä;from Riihimäki asema
Riihimäki lajittelusta;from Riihimäki lajittelu
Riihimäki tavarasta;from Riihimäki tavara
Riijärveltä;from Riijärvi
Riipasta;from Riippa
Ristiinasta;from Ristiina
Ristijärveltä;from Ristijärvi
Rovaniemeltä;from Rovaniemi
Ruhasta;from Ruha
Runnista;from Runni
Ruokosuolta;from Ruokosuo
Ruukista;from Ruukki
Ruusumäeltä;from Ruusumäki
Ryttylästä;from Ryttylä
Röytästä;from Röyttä
Saakoskelta;from Saakoski
Saaresta;from Saari
Saarijärveltä;from Saarijärvi
Salmisista;from Salminen
Salosta;from Salo
Sammalistosta;from Sammalisto
Santalasta;from Santala
Saunakalliosta;from Saunakallio
Saunamäeltä;from Saunamäki
Saviosta;from Savio
Savonlinnasta;from Savonlinna asema
Seinäjoelta;from Seinäjoki asema
Seinäjoki tavarasta;from Seinäjoki tavara
Selänpäästä;from Selänpää
Sieppijärveltä;from Sieppijärvi
Sievistä;from Sievi
Siikamäestä;from Siikamäki
Siilinjärveltä;from Siilinjärvi Asema
Simosta;from Simo
Simpeleeltä;from Simpele
Sipilästä;from Sipilä
Sisätöstä;from Sisättö
Siuntiosta;from Siuntio
Siurosta;from Siuro
Skogbystä;from Skogby
Sköldvikistä;from Sköldvik
Sukevalta;from Sukeva
Suolahdesta;from Suolahti
Suonenjoelta;from Suonenjoki
Suoniemestä;from Suoniemi
Syrjästä;from Syrjä
Syrjämäestä;from Syrjämäki
Sysmäjärveltä;from Sysmäjärvi
Säkäniemestä;from Säkäniemi
Sääksjärveltä;from Sääksjärvi
Taavetista;from Taavetti
Tahkoluodosta;from Tahkoluoto
Taipaleelta;from Taipale
Talviaisista;from Talviainen
Talvivaarasta;from Talvivaara
Tammisaaresta;from Tammisaari
Tampereelta;from Tampere asema
Tampere Järvensivulta;from Tampere Järvensivu
Tampere tavarasta;from Tampere tavara
Tampere Viinikasta;from Tampere Viinikka
Tapanilasta;from Tapanila
Tapavainolasta;from Tapavainola
Tavastilasta;from Tavastila
Tervajoelta;from Tervajoki
Tervolasta;from Tervola
Teuvasta;from Teuva
Tikkalasta;from Tikkala
Tikkaperästä;from Tikkaperä
Tikkurilasta;from Tikkurila asema
Tohmajärveltä;from Tohmajärvi
Toijalasta;from Toijala
Toivalasta;from Toivala
Tolsasta;from Tolsa
Tommolasta;from Tommola
Torkkelista;from Torkkeli
Torniosta;from Tornio asema
Tornio-Itäisestä;from Tornio-Itäinen
Tornio-rajalta;from Tornio-raja
Tuomarilasta;from Tuomarila
Tuomiojalta;from Tuomioja
Turengista;from Turenki
Turusta;from Turku asema
Turku satamasta;from Turku satama
Turku tavarasta;from Turku tavara
Tuupovaarasta;from Tuupovaara
Tuurista;from Tuuri
Törmästä;from Törmä
Törölästä;from Törölä
Uimaharjulta;from Uimaharju
Urjalasta;from Urjala
Utajärveltä;from Utajärvi
Uusikaupungista;from Uusikaupunki
Uusikylästä;from Uusikylä
Vaajakoskelta;from Vaajakoski
Vaalasta;from Vaala
Vaasasta;from Vaasa
Vahojärveltä;from Vahojärvi
Vainikkalasta;from Vainikkala asema
Vainikkala tavarasta;from Vainikkala tavara
Vainikkala-rajalta;from Vainikkala-raja
Valimosta;from Valimo
Valkeakoskelta;from Valkeakoski
Valtimosta;from Valtimo
Vammalasta;from Vammala
Vanattarasta;from Vanattara
Vantaankoskelta;from Vantaankoski
Varkaudesta;from Varkaus
Vartiuksesta;from Vartius
Vartius-rajalta;from Vartius-raja
Vasikkahaasta;from Vasikkahaka
Vaskiluodosta;from Vaskiluoto
Vehkalasta;from Vehkala
Venetmäeltä;from Venetmäki
Vesangasta;from Vesanka
Vierumäeltä;from Vierumäki
Vihannista;from Vihanti
Vihtarista;from Vihtari
Viialasta;from Viiala
Viinijärveltä;from Viinijärvi
Villähteeltä;from Villähde
Vilppulasta;from Vilppula
Vinnilästä;from Vinnilä
